Title,Note,URL,Comment
Come a Casa,,https://www.google.com/maps/place/Come+a+Casa/data=!4m2!3m1!1s0x47e66e08aa5a11f7:0x7b5b300c4d4eb8b8,
Muto Donburi,,https://www.google.com/maps/place/Muto+Donburi/data=!4m2!3m1!1s0x47e66f0cbd5b3fcb:0xfa02347bb56da32c,
Blanca Restaurant,,https://www.google.com/maps/place/Blanca+Restaurant/data=!4m2!3m1!1s0x47e67335a3068137:0x613d6278484ebf70,
FLESH restaurant,,https://www.google.com/maps/place/FLESH+restaurant/data=!4m2!3m1!1s0x47e66e4f25895cf5:0x637a02511e9b8701,
AVESTA - Cuisine Traditionnelle Kurde,,https://www.google.com/maps/place/AVESTA+-+Cuisine+Traditionnelle+Kurde/data=!4m2!3m1!1s0x47e66e13fa83a21f:0xb19c7415983cc4d6,
Anatolia Village,,https://www.google.com/maps/place/Anatolia+Village/data=!4m2!3m1!1s0x47e66e124688aa9f:0x90f23fb22b09b581,
The Lebanese Sajeria,,https://www.google.com/maps/place/The+Lebanese+Sajeria/data=!4m2!3m1!1s0x47c609c23b38d5f9:0x74addf4661586f23,
Eunoé restaurant,,https://www.google.com/maps/place/Euno%C3%A9+restaurant/data=!4m2!3m1!1s0x47e66d2ac2344239:0x889be4fb509ff1f0,
Jolia,,https://www.google.com/maps/place/Jolia/data=!4m2!3m1!1s0x47e66d25b20cf6fd:0x174dd8e86c5149fc,
Chez Mamy,,https://www.google.com/maps/place/Chez+Mamy/data=!4m2!3m1!1s0x47e67366c4274795:0xbc34f42724ad5d88,
Les pères populaires,,https://www.google.com/maps/place/Les+p%C3%A8res+populaires/data=!4m2!3m1!1s0x47e672799379a4f5:0xc86a8ff7630352d0,
Waly-Fay Senegalese Restaurant,,https://www.google.com/maps/place/Waly-Fay+Senegalese+Restaurant/data=!4m2!3m1!1s0x47e67209c758b9c7:0xa388e63d98184f31,
Kodawari Ramen (Yokochō),,https://www.google.com/maps/place/Kodawari+Ramen+(Yokoch%C5%8D)/data=!4m2!3m1!1s0x47e671d8cee50be3:0xe73cffb0381b3105,
La French Charonne,,https://www.google.com/maps/place/La+French+Charonne/data=!4m2!3m1!1s0x47e66df5cecf02ef:0x980380e9096c627d,
HuThoPi,,https://www.google.com/maps/place/HuThoPi/data=!4m2!3m1!1s0x47e6733a02f01973:0x4327d575e9b41ac0,
Menekse,,https://www.google.com/maps/place/Menekse/data=!4m2!3m1!1s0x47e6738a846dca5d:0x57375d581119dfac,
Tsubame,,https://www.google.com/maps/place/Tsubame/data=!4m2!3m1!1s0x47e66e4ee7fe4e6d:0xc22bbc9ae448c59d,
La P'tite Vadrouille,,https://www.google.com/maps/place/La+P'tite+Vadrouille/data=!4m2!3m1!1s0x47e66d915c395555:0xf3e151a52e88c8ba,
Erbil Restaurant,,https://www.google.com/maps/place/Erbil+Restaurant/data=!4m2!3m1!1s0x47a84fe512cc19a9:0xd268bcf25dac608b,
Le Grand Bain,,https://www.google.com/maps/place/Le+Grand+Bain/data=!4m2!3m1!1s0x47e66de616dd3bcb:0xb2912581f39bf13b,
